time_index,incidence,region,category,classification,mom_variation,nature
2023-12-01,0.0194,Cuyo,Análisis,Estacionales,15.37,
2023-12-01,0.2025,Cuyo,Análisis,Núcleo,28.2637,
2023-12-01,0.0365,Cuyo,Análisis,Regulados,23.2471,
2023-12-01,0.748,Cuyo,División,Alimentos y bebidas,,Bienes
2023-12-01,0.0051,Cuyo,División,Bebidas alcohólicas y tabaco,,Bienes
2023-12-01,0.0088,Cuyo,División,Bienes y servicios varios,,Mixto
2023-12-01,0.0025,Cuyo,División,Comunicación,,Servicios
2023-12-01,0.0008,Cuyo,División,Educación,,Servicios
2023-12-01,0.0171,Cuyo,División,Equipamiento del hogar,,Bienes
2023-12-01,0.016,Cuyo,División,Prendas de vestir y calzado,,Bienes
2023-12-01,0.0134,Cuyo,División,Recreación y cultura,,Mixto
2023-12-01,0.0184,Cuyo,División,Restaurantes y hoteles,,Servicios
2023-12-01,0.0327,Cuyo,División,Salud,,Servicios
2023-12-01,0.0395,Cuyo,División,Transporte,,Servicios
2023-12-01,0.0067,Cuyo,División,Vivienda y servicios básicos,,Servicios
2023-12-01,0.258,Cuyo,Nivel General,Total,25.8461,
2023-12-01,0.021,GBA,Análisis,Estacionales,16.0842,
2023-12-01,0.2018,GBA,Análisis,Núcleo,28.4987,
2023-12-01,0.0281,GBA,Análisis,Regulados,17.3964,
2023-12-01,0.627,GBA,División,Alimentos y bebidas,,Bienes
2023-12-01,0.0487,GBA,División,Bebidas alcohólicas y tabaco,,Bienes
2023-12-01,0.0645,GBA,División,Bienes y servicios varios,,Mixto
2023-12-01,0.0399,GBA,División,Comunicación,,Servicios
2023-12-01,0.0408,GBA,División,Educación,,Servicios
2023-12-01,0.1516,GBA,División,Equipamiento del hogar,,Bienes
2023-12-01,0.1889999999999999,GBA,División,Prendas de vestir y calzado,,Bienes
2023-12-01,0.1588,GBA,División,Recreación y cultura,,Mixto
2023-12-01,0.2568,GBA,División,Restaurantes y hoteles,,Servicios
2023-12-01,0.2036,GBA,División,Salud,,Servicios
2023-12-01,0.1993,GBA,División,Transporte,,Servicios
2023-12-01,0.1214,GBA,División,Vivienda y servicios básicos,,Servicios
2023-12-01,2.101,GBA,Nivel General,Total,25.085,
2023-12-01,0.0289999999999999,NEA,Análisis,Estacionales,22.1327,
2023-12-01,0.2167,NEA,Análisis,Núcleo,29.5807,
2023-12-01,0.0378,NEA,Análisis,Regulados,27.757,
2023-12-01,0.9244,NEA,División,Alimentos y bebidas,,Bienes
2023-12-01,0.0604,NEA,División,Bebidas alcohólicas y tabaco,,Bienes
2023-12-01,0.0679,NEA,División,Bienes y servicios varios,,Mixto
2023-12-01,0.0387,NEA,División,Comunicación,,Servicios
2023-12-01,0.0104,NEA,División,Educación,,Servicios
2023-12-01,0.1889,NEA,División,Equipamiento del hogar,,Bienes
2023-12-01,0.2059,NEA,División,Prendas de vestir y calzado,,Bienes
2023-12-01,0.1196,NEA,División,Recreación y cultura,,Mixto
2023-12-01,0.1128999999999999,NEA,División,Restaurantes y hoteles,,Servicios
2023-12-01,0.1365,NEA,División,Salud,,Servicios
2023-12-01,0.2122,NEA,División,Transporte,,Servicios
2023-12-01,0.1168,NEA,División,Vivienda y servicios básicos,,Servicios
2023-12-01,0.284,NEA,Nivel General,Total,28.3549,
2023-12-01,0.023,NOA,Análisis,Estacionales,16.0243,
2023-12-01,0.203,NOA,Análisis,Núcleo,28.0324,
2023-12-01,0.0262,NOA,Análisis,Regulados,19.8682,
2023-12-01,0.8872,NOA,División,Alimentos y bebidas,,Bienes
2023-12-01,0.0476999999999999,NOA,División,Bebidas alcohólicas y tabaco,,Bienes
2023-12-01,0.0613,NOA,División,Bienes y servicios varios,,Mixto
2023-12-01,0.0378,NOA,División,Comunicación,,Servicios
2023-12-01,0.0218,NOA,División,Educación,,Servicios
2023-12-01,0.1381,NOA,División,Equipamiento del hogar,,Bienes
